S_mw,N_units,B_mwh,G_mw,gas_gen_mwh,grid_import_mwh_yr,demand_mwh_yr,slcoe_per_mwh,total_cost_usd_yr,solar_cost_usd_yr,bess_cost_usd_yr,gas_cost_usd_yr,grid_fixed_cost_usd_yr,grid_energy_cost_usd_yr
0,0,0.0,0.0,0.0,522524.0,522524.0,30.345,15856111.0,0.0,0.0,0.0,768901.0,15087211.0
0,0,0.0,25.0,60475.0,462049.0,522524.0,32.518,16991413.0,0.0,0.0,4838998.0,768901.0,11383514.0
0,0,0.0,50.0,120950.0,401574.0,522524.0,34.691,18126714.0,0.0,0.0,9677996.0,768901.0,7679817.0
0,0,0.0,75.0,144142.0,378382.0,522524.0,39.337,20554549.0,0.0,0.0,13491719.0,768901.0,6293929.0
0,0,0.0,100.0,144142.0,378382.0,522524.0,45.415,23730484.0,0.0,0.0,16667655.0,768901.0,6293929.0
0,0,0.0,150.0,144142.0,378382.0,522524.0,57.571,30082356.0,0.0,0.0,23019526.0,768901.0,6293929.0
0,0,0.0,200.0,144142.0,378382.0,522524.0,69.727,36434227.0,0.0,0.0,29371398.0,768901.0,6293929.0
0,10,40.0,0.0,0.0,522512.0,522524.0,33.481,17494410.0,0.0,1638491.0,0.0,768901.0,15087018.0
0,10,40.0,25.0,60475.0,462037.0,522524.0,35.653,18629711.0,0.0,1638491.0,4838998.0,768901.0,11383322.0
0,10,40.0,50.0,120950.0,401562.0,522524.0,37.826,19765013.0,0.0,1638491.0,9677996.0,768901.0,7679625.0
0,10,40.0,75.0,144142.0,378370.0,522524.0,42.472,22192847.0,0.0,1638491.0,13491719.0,768901.0,6293737.0
0,10,40.0,100.0,144142.0,378370.0,522524.0,48.55,25368783.0,0.0,1638491.0,16667655.0,768901.0,6293737.0
0,10,40.0,150.0,144142.0,378370.0,522524.0,60.707,31720654.0,0.0,1638491.0,23019526.0,768901.0,6293737.0
0,10,40.0,200.0,144142.0,378370.0,522524.0,72.863,38072526.0,0.0,1638491.0,29371398.0,768901.0,6293737.0
0,20,80.0,0.0,0.0,522501.0,522524.0,36.616,19132708.0,0.0,3276982.0,0.0,768901.0,15086826.0
0,20,80.0,25.0,60475.0,462026.0,522524.0,38.789,20268010.0,0.0,3276982.0,4838998.0,768901.0,11383129.0
0,20,80.0,50.0,120950.0,401551.0,522524.0,40.961,21403311.0,0.0,3276982.0,9677996.0,768901.0,7679433.0
0,20,80.0,75.0,144142.0,378359.0,522524.0,45.608,23831146.0,0.0,3276982.0,13491719.0,768901.0,6293545.0
0,20,80.0,100.0,144142.0,378359.0,522524.0,51.686,27007082.0,0.0,3276982.0,16667655.0,768901.0,6293545.0
0,20,80.0,150.0,144142.0,378359.0,522524.0,63.842,33358953.0,0.0,3276982.0,23019526.0,768901.0,6293545.0
0,20,80.0,200.0,144142.0,378359.0,522524.0,75.998,39710825.0,0.0,3276982.0,29371398.0,768901.0,6293545.0
0,30,120.0,0.0,0.0,522490.0,522524.0,39.751,20771007.0,0.0,4915473.0,0.0,768901.0,15086634.0
0,30,120.0,25.0,60475.0,462015.0,522524.0,41.924,21906309.0,0.0,4915473.0,4838998.0,768901.0,11382937.0
0,30,120.0,50.0,120950.0,401540.0,522524.0,44.097,23041610.0,0.0,4915473.0,9677996.0,768901.0,7679240.0
0,30,120.0,75.0,144142.0,378348.0,522524.0,48.743,25469444.0,0.0,4915473.0,13491719.0,768901.0,6293352.0
0,30,120.0,100.0,144142.0,378348.0,522524.0,54.821,28645380.0,0.0,4915473.0,16667655.0,768901.0,6293352.0
0,30,120.0,150.0,144142.0,378348.0,522524.0,66.977,34997252.0,0.0,4915473.0,23019526.0,768901.0,6293352.0
0,30,120.0,200.0,144142.0,378348.0,522524.0,79.133,41349123.0,0.0,4915473.0,29371398.0,768901.0,6293352.0
0,40,160.0,0.0,0.0,522479.0,522524.0,42.887,22409306.0,0.0,6553964.0,0.0,768901.0,15086442.0
0,40,160.0,25.0,60475.0,462004.0,522524.0,45.059,23544607.0,0.0,6553964.0,4838998.0,768901.0,11382745.0
0,40,160.0,50.0,120950.0,401529.0,522524.0,47.232,24679909.0,0.0,6553964.0,9677996.0,768901.0,7679048.0
0,40,160.0,75.0,144142.0,378336.0,522524.0,51.878,27107743.0,0.0,6553964.0,13491719.0,768901.0,6293160.0
0,40,160.0,100.0,144142.0,378336.0,522524.0,57.957,30283679.0,0.0,6553964.0,16667655.0,768901.0,6293160.0
0,40,160.0,150.0,144142.0,378336.0,522524.0,70.113,36635550.0,0.0,6553964.0,23019526.0,768901.0,6293160.0
0,40,160.0,200.0,144142.0,378336.0,522524.0,82.269,42987422.0,0.0,6553964.0,29371398.0,768901.0,6293160.0
0,50,200.0,0.0,0.0,522467.0,522524.0,46.022,24047604.0,0.0,8192455.0,0.0,768901.0,15086249.0
0,50,200.0,25.0,60475.0,461992.0,522524.0,48.195,25182906.0,0.0,8192455.0,4838998.0,768901.0,11382553.0
0,50,200.0,50.0,120950.0,401517.0,522524.0,50.367,26318207.0,0.0,8192455.0,9677996.0,768901.0,7678856.0
0,50,200.0,75.0,144142.0,378325.0,522524.0,55.014,28746042.0,0.0,8192455.0,13491719.0,768901.0,6292968.0
0,50,200.0,100.0,144142.0,378325.0,522524.0,61.092,31921977.0,0.0,8192455.0,16667655.0,768901.0,6292968.0
0,50,200.0,150.0,144142.0,378325.0,522524.0,73.248,38273849.0,0.0,8192455.0,23019526.0,768901.0,6292968.0
0,50,200.0,200.0,144142.0,378325.0,522524.0,85.404,44625720.0,0.0,8192455.0,29371398.0,768901.0,6292968.0
0,60,240.0,0.0,0.0,522456.0,522524.0,49.157,25685903.0,0.0,9830945.0,0.0,768901.0,15086057.0
0,60,240.0,25.0,60475.0,461981.0,522524.0,51.33,26821205.0,0.0,9830945.0,4838998.0,768901.0,11382361.0
0,60,240.0,50.0,120950.0,401506.0,522524.0,53.503,27956506.0,0.0,9830945.0,9677996.0,768901.0,7678664.0
0,60,240.0,75.0,144142.0,378314.0,522524.0,58.149,30384341.0,0.0,9830945.0,13491719.0,768901.0,6292776.0
0,60,240.0,100.0,144142.0,378314.0,522524.0,64.227,33560276.0,0.0,9830945.0,16667655.0,768901.0,6292776.0
0,60,240.0,150.0,144142.0,378314.0,522524.0,76.383,39912148.0,0.0,9830945.0,23019526.0,768901.0,6292776.0
0,60,240.0,200.0,144142.0,378314.0,522524.0,88.54,46264019.0,0.0,9830945.0,29371398.0,768901.0,6292776.0
0,70,280.0,0.0,0.0,522445.0,522524.0,52.293,27324202.0,0.0,11469436.0,0.0,768901.0,15085866.0
0,70,280.0,25.0,60475.0,461970.0,522524.0,54.465,28459504.0,0.0,11469436.0,4838998.0,768901.0,11382169.0
0,70,280.0,50.0,120950.0,401495.0,522524.0,56.638,29594805.0,0.0,11469436.0,9677996.0,768901.0,7678472.0
0,70,280.0,75.0,144142.0,378302.0,522524.0,61.285,32022640.0,0.0,11469436.0,13491719.0,768901.0,6292584.0
0,70,280.0,100.0,144142.0,378302.0,522524.0,67.363,35198575.0,0.0,11469436.0,16667655.0,768901.0,6292584.0
0,70,280.0,150.0,144142.0,378302.0,522524.0,79.519,41550447.0,0.0,11469436.0,23019526.0,768901.0,6292584.0
0,70,280.0,200.0,144142.0,378302.0,522524.0,91.675,47902318.0,0.0,11469436.0,29371398.0,768901.0,6292584.0
0,80,320.0,0.0,0.0,522433.0,522524.0,55.428,28962502.0,0.0,13107927.0,0.0,768901.0,15085674.0
0,80,320.0,25.0,60475.0,461958.0,522524.0,57.601,30097803.0,0.0,13107927.0,4838998.0,768901.0,11381977.0
0,80,320.0,50.0,120950.0,401483.0,522524.0,59.774,31233105.0,0.0,13107927.0,9677996.0,768901.0,7678280.0
0,80,320.0,75.0,144142.0,378291.0,522524.0,64.42,33660939.0,0.0,13107927.0,13491719.0,768901.0,6292392.0
0,80,320.0,100.0,144142.0,378291.0,522524.0,70.498,36836875.0,0.0,13107927.0,16667655.0,768901.0,6292392.0
0,80,320.0,150.0,144142.0,378291.0,522524.0,82.654,43188746.0,0.0,13107927.0,23019526.0,768901.0,6292392.0
0,80,320.0,200.0,144142.0,378291.0,522524.0,94.81,49540618.0,0.0,13107927.0,29371398.0,768901.0,6292392.0
0,90,360.0,0.0,0.0,522422.0,522524.0,58.563,30600801.0,0.0,14746418.0,0.0,768901.0,15085482.0
0,90,360.0,25.0,60475.0,461947.0,522524.0,60.736,31736102.0,0.0,14746418.0,4838998.0,768901.0,11381785.0
0,90,360.0,50.0,120950.0,401472.0,522524.0,62.909,32871404.0,0.0,14746418.0,9677996.0,768901.0,7678089.0
0,90,360.0,75.0,144142.0,378280.0,522524.0,67.555,35299238.0,0.0,14746418.0,13491719.0,768901.0,6292200.0
0,90,360.0,100.0,144142.0,378280.0,522524.0,73.633,38475174.0,0.0,14746418.0,16667655.0,768901.0,6292200.0
0,90,360.0,150.0,144142.0,378280.0,522524.0,85.789,44827045.0,0.0,14746418.0,23019526.0,768901.0,6292200.0
0,90,360.0,200.0,144142.0,378280.0,522524.0,97.946,51178917.0,0.0,14746418.0,29371398.0,768901.0,6292200.0
0,100,400.0,0.0,0.0,522411.0,522524.0,61.699,32239100.0,0.0,16384909.0,0.0,768901.0,15085290.0
0,100,400.0,25.0,60475.0,461936.0,522524.0,63.872,33374401.0,0.0,16384909.0,4838998.0,768901.0,11381594.0
0,100,400.0,50.0,120950.0,401461.0,522524.0,66.044,34509703.0,0.0,16384909.0,9677996.0,768901.0,7677897.0
0,100,400.0,75.0,144142.0,378269.0,522524.0,70.691,36937537.0,0.0,16384909.0,13491719.0,768901.0,6292009.0
0,100,400.0,100.0,144142.0,378269.0,522524.0,76.769,40113473.0,0.0,16384909.0,16667655.0,768901.0,6292009.0
0,100,400.0,150.0,144142.0,378269.0,522524.0,88.925,46465344.0,0.0,16384909.0,23019526.0,768901.0,6292009.0
0,100,400.0,200.0,144142.0,378269.0,522524.0,101.081,52817216.0,0.0,16384909.0,29371398.0,768901.0,6292009.0
25,0,0.0,0.0,0.0,485081.0,522524.0,33.138,17315375.0,2359652.0,0.0,0.0,765945.0,14189779.0
25,0,0.0,25.0,60475.0,424606.0,522524.0,35.293,18441514.0,2359652.0,0.0,4838998.0,756782.0,10486082.0
25,0,0.0,50.0,118668.0,366414.0,522524.0,37.718,19708767.0,2359652.0,0.0,9615230.0,756782.0,6977102.0
25,0,0.0,75.0,139081.0,346000.0,522524.0,42.543,22229631.0,2359652.0,0.0,13352542.0,756782.0,5760655.0
25,0,0.0,100.0,139081.0,346000.0,522524.0,48.621,25405567.0,2359652.0,0.0,16528478.0,756782.0,5760655.0
25,0,0.0,150.0,139081.0,346000.0,522524.0,60.777,31757438.0,2359652.0,0.0,22880349.0,756782.0,5760655.0
25,0,0.0,200.0,139081.0,346000.0,522524.0,72.933,38109310.0,2359652.0,0.0,29232221.0,756782.0,5760655.0
25,10,40.0,0.0,0.0,485070.0,522524.0,36.273,18953674.0,2359652.0,1638491.0,0.0,765945.0,14189586.0
25,10,40.0,25.0,60475.0,424595.0,522524.0,38.429,20079813.0,2359652.0,1638491.0,4838998.0,756782.0,10485890.0
25,10,40.0,50.0,118668.0,366402.0,522524.0,40.854,21347065.0,2359652.0,1638491.0,9615230.0,756782.0,6976910.0
25,10,40.0,75.0,139081.0,345989.0,522524.0,45.678,23867929.0,2359652.0,1638491.0,13352542.0,756782.0,5760463.0
25,10,40.0,100.0,139081.0,345989.0,522524.0,51.756,27043865.0,2359652.0,1638491.0,16528478.0,756782.0,5760463.0
25,10,40.0,150.0,139081.0,345989.0,522524.0,63.912,33395737.0,2359652.0,1638491.0,22880349.0,756782.0,5760463.0
25,10,40.0,200.0,139081.0,345989.0,522524.0,76.069,39747608.0,2359652.0,1638491.0,29232221.0,756782.0,5760463.0
25,20,80.0,0.0,0.0,485059.0,522524.0,39.409,20591972.0,2359652.0,3276982.0,0.0,765945.0,14189394.0
25,20,80.0,25.0,60475.0,424584.0,522524.0,41.564,21718111.0,2359652.0,3276982.0,4838998.0,756782.0,10485697.0
25,20,80.0,50.0,118668.0,366391.0,522524.0,43.989,22985364.0,2359652.0,3276982.0,9615230.0,756782.0,6976718.0
25,20,80.0,75.0,139081.0,345977.0,522524.0,48.814,25506228.0,2359652.0,3276982.0,13352542.0,756782.0,5760270.0
25,20,80.0,100.0,139081.0,345977.0,522524.0,54.892,28682164.0,2359652.0,3276982.0,16528478.0,756782.0,5760270.0
25,20,80.0,150.0,139081.0,345977.0,522524.0,67.048,35034035.0,2359652.0,3276982.0,22880349.0,756782.0,5760270.0
25,20,80.0,200.0,139081.0,345977.0,522524.0,79.204,41385907.0,2359652.0,3276982.0,29232221.0,756782.0,5760270.0
25,30,120.0,0.0,0.0,485047.0,522524.0,42.544,22230271.0,2359652.0,4915473.0,0.0,765945.0,14189202.0
25,30,120.0,25.0,60475.0,424572.0,522524.0,44.699,23356410.0,2359652.0,4915473.0,4838998.0,756782.0,10485505.0
25,30,120.0,50.0,118668.0,366380.0,522524.0,47.124,24623663.0,2359652.0,4915473.0,9615230.0,756782.0,6976526.0
25,30,120.0,75.0,139081.0,345966.0,522524.0,51.949,27144527.0,2359652.0,4915473.0,13352542.0,756782.0,5760078.0
25,30,120.0,100.0,139081.0,345966.0,522524.0,58.027,30320463.0,2359652.0,4915473.0,16528478.0,756782.0,5760078.0
25,30,120.0,150.0,139081.0,345966.0,522524.0,70.183,36672334.0,2359652.0,4915473.0,22880349.0,756782.0,5760078.0
25,30,120.0,200.0,139081.0,345966.0,522524.0,82.339,43024206.0,2359652.0,4915473.0,29232221.0,756782.0,5760078.0
25,40,160.0,0.0,0.0,485036.0,522524.0,45.679,23868570.0,2359652.0,6553964.0,0.0,765945.0,14189010.0
25,40,160.0,25.0,60475.0,424561.0,522524.0,47.835,24994709.0,2359652.0,6553964.0,4838998.0,756782.0,10485313.0
25,40,160.0,50.0,118668.0,366368.0,522524.0,50.26,26261961.0,2359652.0,6553964.0,9615230.0,756782.0,6976333.0
25,40,160.0,75.0,139081.0,345955.0,522524.0,55.084,28782825.0,2359652.0,6553964.0,13352542.0,756782.0,5759886.0
25,40,160.0,100.0,139081.0,345955.0,522524.0,61.162,31958761.0,2359652.0,6553964.0,16528478.0,756782.0,5759886.0
25,40,160.0,150.0,139081.0,345955.0,522524.0,73.318,38310633.0,2359652.0,6553964.0,22880349.0,756782.0,5759886.0
25,40,160.0,200.0,139081.0,345955.0,522524.0,85.475,44662504.0,2359652.0,6553964.0,29232221.0,756782.0,5759886.0
25,50,200.0,0.0,0.0,485025.0,522524.0,48.815,25506868.0,2359652.0,8192455.0,0.0,765945.0,14188817.0
25,50,200.0,25.0,60475.0,424550.0,522524.0,50.97,26633007.0,2359652.0,8192455.0,4838998.0,756782.0,10485121.0
25,50,200.0,50.0,118668.0,366357.0,522524.0,53.395,27900260.0,2359652.0,8192455.0,9615230.0,756782.0,6976141.0
25,50,200.0,75.0,139081.0,345943.0,522524.0,58.22,30421124.0,2359652.0,8192455.0,13352542.0,756782.0,5759694.0
25,50,200.0,100.0,139081.0,345943.0,522524.0,64.298,33597060.0,2359652.0,8192455.0,16528478.0,756782.0,5759694.0
25,50,200.0,150.0,139081.0,345943.0,522524.0,76.454,39948931.0,2359652.0,8192455.0,22880349.0,756782.0,5759694.0
25,50,200.0,200.0,139081.0,345943.0,522524.0,88.61,46300803.0,2359652.0,8192455.0,29232221.0,756782.0,5759694.0
25,60,240.0,0.0,0.0,485013.0,522524.0,51.95,27145167.0,2359652.0,9830945.0,0.0,765945.0,14188625.0
25,60,240.0,25.0,60475.0,424538.0,522524.0,54.105,28271306.0,2359652.0,9830945.0,4838998.0,756782.0,10484929.0
25,60,240.0,50.0,118668.0,366346.0,522524.0,56.531,29538559.0,2359652.0,9830945.0,9615230.0,756782.0,6975949.0
25,60,240.0,75.0,139081.0,345932.0,522524.0,61.355,32059423.0,2359652.0,9830945.0,13352542.0,756782.0,5759502.0
25,60,240.0,100.0,139081.0,345932.0,522524.0,67.433,35235359.0,2359652.0,9830945.0,16528478.0,756782.0,5759502.0
25,60,240.0,150.0,139081.0,345932.0,522524.0,79.589,41587230.0,2359652.0,9830945.0,22880349.0,756782.0,5759502.0
25,60,240.0,200.0,139081.0,345932.0,522524.0,91.745,47939102.0,2359652.0,9830945.0,29232221.0,756782.0,5759502.0
25,70,280.0,0.0,0.0,485002.0,522524.0,55.085,28783466.0,2359652.0,11469436.0,0.0,765945.0,14188434.0
25,70,280.0,25.0,60475.0,424527.0,522524.0,57.241,29909605.0,2359652.0,11469436.0,4838998.0,756782.0,10484737.0
25,70,280.0,50.0,118668.0,366334.0,522524.0,59.666,31176858.0,2359652.0,11469436.0,9615230.0,756782.0,6975757.0
25,70,280.0,75.0,139081.0,345921.0,522524.0,64.49,33697722.0,2359652.0,11469436.0,13352542.0,756782.0,5759310.0
25,70,280.0,100.0,139081.0,345921.0,522524.0,70.568,36873658.0,2359652.0,11469436.0,16528478.0,756782.0,5759310.0
25,70,280.0,150.0,139081.0,345921.0,522524.0,82.725,43225529.0,2359652.0,11469436.0,22880349.0,756782.0,5759310.0
25,70,280.0,200.0,139081.0,345921.0,522524.0,94.881,49577401.0,2359652.0,11469436.0,29232221.0,756782.0,5759310.0
25,80,320.0,0.0,0.0,484991.0,522524.0,58.221,30421765.0,2359652.0,13107927.0,0.0,765945.0,14188242.0
25,80,320.0,25.0,60475.0,424516.0,522524.0,60.376,31547904.0,2359652.0,13107927.0,4838998.0,756782.0,10484545.0
25,80,320.0,50.0,118668.0,366323.0,522524.0,62.801,32815157.0,2359652.0,13107927.0,9615230.0,756782.0,6975566.0
25,80,320.0,75.0,139081.0,345909.0,522524.0,67.626,35336021.0,2359652.0,13107927.0,13352542.0,756782.0,5759118.0
25,80,320.0,100.0,139081.0,345909.0,522524.0,73.704,38511957.0,2359652.0,13107927.0,16528478.0,756782.0,5759118.0
25,80,320.0,150.0,139081.0,345909.0,522524.0,85.86,44863828.0,2359652.0,13107927.0,22880349.0,756782.0,5759118.0
25,80,320.0,200.0,139081.0,345909.0,522524.0,98.016,51215700.0,2359652.0,13107927.0,29232221.0,756782.0,5759118.0
25,90,360.0,0.0,0.0,484979.0,522524.0,61.356,32060065.0,2359652.0,14746418.0,0.0,765945.0,14188050.0
25,90,360.0,25.0,60475.0,424504.0,522524.0,63.511,33186204.0,2359652.0,14746418.0,4838998.0,756782.0,10484353.0
25,90,360.0,50.0,118668.0,366312.0,522524.0,65.937,34453456.0,2359652.0,14746418.0,9615230.0,756782.0,6975374.0
25,90,360.0,75.0,139081.0,345898.0,522524.0,70.761,36974320.0,2359652.0,14746418.0,13352542.0,756782.0,5758926.0
25,90,360.0,100.0,139081.0,345898.0,522524.0,76.839,40150256.0,2359652.0,14746418.0,16528478.0,756782.0,5758926.0
25,90,360.0,150.0,139081.0,345898.0,522524.0,88.995,46502128.0,2359652.0,14746418.0,22880349.0,756782.0,5758926.0
25,90,360.0,200.0,139081.0,345898.0,522524.0,101.151,52853999.0,2359652.0,14746418.0,29232221.0,756782.0,5758926.0
25,100,400.0,0.0,0.0,484968.0,522524.0,64.492,33698364.0,2359652.0,16384909.0,0.0,765945.0,14187858.0
25,100,400.0,25.0,60475.0,424493.0,522524.0,66.647,34824503.0,2359652.0,16384909.0,4838998.0,756782.0,10484162.0
25,100,400.0,50.0,118668.0,366301.0,522524.0,69.072,36091755.0,2359652.0,16384909.0,9615230.0,756782.0,6975182.0
25,100,400.0,75.0,139081.0,345887.0,522524.0,73.896,38612620.0,2359652.0,16384909.0,13352542.0,756782.0,5758735.0
25,100,400.0,100.0,139081.0,345887.0,522524.0,79.974,41788555.0,2359652.0,16384909.0,16528478.0,756782.0,5758735.0
25,100,400.0,150.0,139081.0,345887.0,522524.0,92.131,48140427.0,2359652.0,16384909.0,22880349.0,756782.0,5758735.0
25,100,400.0,200.0,139081.0,345887.0,522524.0,104.287,54492298.0,2359652.0,16384909.0,29232221.0,756782.0,5758735.0
50,0,0.0,0.0,0.0,447639.0,522524.0,35.936,18777595.0,4719303.0,0.0,0.0,765945.0,13292347.0
50,0,0.0,25.0,59653.0,387985.0,522524.0,38.164,19941505.0,4719303.0,0.0,4816396.0,756782.0,9649023.0
50,0,0.0,50.0,114105.0,333534.0,522524.0,40.937,21390606.0,4719303.0,0.0,9489749.0,756782.0,6424772.0
50,0,0.0,75.0,134020.0,313618.0,522524.0,45.772,23916831.0,4719303.0,0.0,13213365.0,756782.0,5227381.0
50,0,0.0,100.0,134020.0,313618.0,522524.0,51.85,27092767.0,4719303.0,0.0,16389301.0,756782.0,5227381.0
50,0,0.0,150.0,134020.0,313618.0,522524.0,64.006,33444639.0,4719303.0,0.0,22741172.0,756782.0,5227381.0
50,0,0.0,200.0,134020.0,313618.0,522524.0,76.162,39796510.0,4719303.0,0.0,29093044.0,756782.0,5227381.0
50,10,40.0,0.0,0.0,447627.0,522524.0,39.072,20415893.0,4719303.0,1638491.0,0.0,765945.0,13292155.0
50,10,40.0,25.0,59653.0,387974.0,522524.0,41.299,21579804.0,4719303.0,1638491.0,4816396.0,756782.0,9648831.0
50,10,40.0,50.0,114105.0,333523.0,522524.0,44.072,23028905.0,4719303.0,1638491.0,9489749.0,756782.0,6424580.0
50,10,40.0,75.0,134020.0,313607.0,522524.0,48.907,25555130.0,4719303.0,1638491.0,13213365.0,756782.0,5227189.0
50,10,40.0,100.0,134020.0,313607.0,522524.0,54.985,28731066.0,4719303.0,1638491.0,16389301.0,756782.0,5227189.0
50,10,40.0,150.0,134020.0,313607.0,522524.0,67.141,35082937.0,4719303.0,1638491.0,22741172.0,756782.0,5227189.0
50,10,40.0,200.0,134020.0,313607.0,522524.0,79.297,41434809.0,4719303.0,1638491.0,29093044.0,756782.0,5227189.0
50,20,80.0,0.0,0.0,447616.0,522524.0,42.207,22054192.0,4719303.0,3276982.0,0.0,765945.0,13291962.0
50,20,80.0,25.0,59653.0,387963.0,522524.0,44.435,23218102.0,4719303.0,3276982.0,4816396.0,756782.0,9648639.0
50,20,80.0,50.0,114105.0,333511.0,522524.0,47.208,24667204.0,4719303.0,3276982.0,9489749.0,756782.0,6424387.0
50,20,80.0,75.0,134020.0,313596.0,522524.0,52.042,27193429.0,4719303.0,3276982.0,13213365.0,756782.0,5226996.0
50,20,80.0,100.0,134020.0,313596.0,522524.0,58.121,30369364.0,4719303.0,3276982.0,16389301.0,756782.0,5226996.0
50,20,80.0,150.0,134020.0,313596.0,522524.0,70.277,36721236.0,4719303.0,3276982.0,22741172.0,756782.0,5226996.0
50,20,80.0,200.0,134020.0,313596.0,522524.0,82.433,43073107.0,4719303.0,3276982.0,29093044.0,756782.0,5226996.0
50,30,120.0,0.0,0.0,447605.0,522524.0,45.342,23692491.0,4719303.0,4915473.0,0.0,765945.0,13291770.0
50,30,120.0,25.0,59653.0,387951.0,522524.0,47.57,24856401.0,4719303.0,4915473.0,4816396.0,756782.0,9648446.0
50,30,120.0,50.0,114105.0,333500.0,522524.0,50.343,26305502.0,4719303.0,4915473.0,9489749.0,756782.0,6424195.0
50,30,120.0,75.0,134020.0,313584.0,522524.0,55.178,28831727.0,4719303.0,4915473.0,13213365.0,756782.0,5226804.0
50,30,120.0,100.0,134020.0,313584.0,522524.0,61.256,32007663.0,4719303.0,4915473.0,16389301.0,756782.0,5226804.0
50,30,120.0,150.0,134020.0,313584.0,522524.0,73.412,38359535.0,4719303.0,4915473.0,22741172.0,756782.0,5226804.0
50,30,120.0,200.0,134020.0,313584.0,522524.0,85.568,44711406.0,4719303.0,4915473.0,29093044.0,756782.0,5226804.0
50,40,160.0,0.0,0.0,447593.0,522524.0,48.478,25330789.0,4719303.0,6553964.0,0.0,765945.0,13291578.0
50,40,160.0,25.0,59653.0,387940.0,522524.0,50.705,26494700.0,4719303.0,6553964.0,4816396.0,756782.0,9648254.0
50,40,160.0,50.0,114105.0,333489.0,522524.0,53.479,27943801.0,4719303.0,6553964.0,9489749.0,756782.0,6424003.0
50,40,160.0,75.0,134020.0,313573.0,522524.0,58.313,30470026.0,4719303.0,6553964.0,13213365.0,756782.0,5226612.0
50,40,160.0,100.0,134020.0,313573.0,522524.0,64.391,33645962.0,4719303.0,6553964.0,16389301.0,756782.0,5226612.0
50,40,160.0,150.0,134020.0,313573.0,522524.0,76.547,39997833.0,4719303.0,6553964.0,22741172.0,756782.0,5226612.0
50,40,160.0,200.0,134020.0,313573.0,522524.0,88.704,46349705.0,4719303.0,6553964.0,29093044.0,756782.0,5226612.0
50,50,200.0,0.0,0.0,447582.0,522524.0,51.613,26969088.0,4719303.0,8192455.0,0.0,765945.0,13291385.0
50,50,200.0,25.0,59653.0,387929.0,522524.0,53.841,28132998.0,4719303.0,8192455.0,4816396.0,756782.0,9648062.0
50,50,200.0,50.0,114105.0,333477.0,522524.0,56.614,29582100.0,4719303.0,8192455.0,9489749.0,756782.0,6423811.0
50,50,200.0,75.0,134020.0,313562.0,522524.0,61.449,32108325.0,4719303.0,8192455.0,13213365.0,756782.0,5226420.0
50,50,200.0,100.0,134020.0,313562.0,522524.0,67.527,35284260.0,4719303.0,8192455.0,16389301.0,756782.0,5226420.0
50,50,200.0,150.0,134020.0,313562.0,522524.0,79.683,41636132.0,4719303.0,8192455.0,22741172.0,756782.0,5226420.0
50,50,200.0,200.0,134020.0,313562.0,522524.0,91.839,47988003.0,4719303.0,8192455.0,29093044.0,756782.0,5226420.0
50,60,240.0,0.0,0.0,447571.0,522524.0,54.748,28607387.0,4719303.0,9830945.0,0.0,765945.0,13291193.0
50,60,240.0,25.0,59653.0,387918.0,522524.0,56.976,29771297.0,4719303.0,9830945.0,4816396.0,756782.0,9647870.0
50,60,240.0,50.0,114105.0,333466.0,522524.0,59.749,31220398.0,4719303.0,9830945.0,9489749.0,756782.0,6423619.0
50,60,240.0,75.0,134020.0,313550.0,522524.0,64.584,33746623.0,4719303.0,9830945.0,13213365.0,756782.0,5226227.0
50,60,240.0,100.0,134020.0,313550.0,522524.0,70.662,36922559.0,4719303.0,9830945.0,16389301.0,756782.0,5226227.0
50,60,240.0,150.0,134020.0,313550.0,522524.0,82.818,43274431.0,4719303.0,9830945.0,22741172.0,756782.0,5226227.0
50,60,240.0,200.0,134020.0,313550.0,522524.0,94.974,49626302.0,4719303.0,9830945.0,29093044.0,756782.0,5226227.0
50,70,280.0,0.0,0.0,447559.0,522524.0,57.884,30245686.0,4719303.0,11469436.0,0.0,765945.0,13291002.0
50,70,280.0,25.0,59653.0,387906.0,522524.0,60.111,31409596.0,4719303.0,11469436.0,4816396.0,756782.0,9647678.0
50,70,280.0,50.0,114105.0,333455.0,522524.0,62.885,32858698.0,4719303.0,11469436.0,9489749.0,756782.0,6423427.0
50,70,280.0,75.0,134020.0,313539.0,522524.0,67.719,35384923.0,4719303.0,11469436.0,13213365.0,756782.0,5226036.0
50,70,280.0,100.0,134020.0,313539.0,522524.0,73.797,38560858.0,4719303.0,11469436.0,16389301.0,756782.0,5226036.0
50,70,280.0,150.0,134020.0,313539.0,522524.0,85.953,44912730.0,4719303.0,11469436.0,22741172.0,756782.0,5226036.0
50,70,280.0,200.0,134020.0,313539.0,522524.0,98.11,51264601.0,4719303.0,11469436.0,29093044.0,756782.0,5226036.0
50,80,320.0,0.0,0.0,447548.0,522524.0,61.019,31883985.0,4719303.0,13107927.0,0.0,765945.0,13290810.0
50,80,320.0,25.0,59653.0,387895.0,522524.0,63.247,33047895.0,4719303.0,13107927.0,4816396.0,756782.0,9647486.0
50,80,320.0,50.0,114105.0,333443.0,522524.0,66.02,34496997.0,4719303.0,13107927.0,9489749.0,756782.0,6423235.0
50,80,320.0,75.0,134020.0,313528.0,522524.0,70.855,37023222.0,4719303.0,13107927.0,13213365.0,756782.0,5225844.0
